perm,qidx,correct
"[7, 4, 3, 0, 5, 6, 2, 1]",0,0
"[7, 4, 3, 0, 5, 6, 2, 1]",1,0
"[7, 4, 3, 0, 5, 6, 2, 1]",2,1
"[7, 4, 3, 0, 5, 6, 2, 1]",3,0
"[7, 4, 3, 0, 5, 6, 2, 1]",4,1
"[7, 4, 3, 0, 5, 6, 2, 1]",5,0
"[7, 4, 3, 0, 5, 6, 2, 1]",6,1
"[7, 4, 3, 0, 5, 6, 2, 1]",7,0
"[7, 4, 3, 0, 5, 6, 2, 1]",8,1
"[7, 4, 3, 0, 5, 6, 2, 1]",9,1
"[7, 4, 3, 0, 5, 6, 2, 1]",10,1
"[7, 4, 3, 0, 5, 6, 2, 1]",11,0
"[7, 4, 3, 0, 5, 6, 2, 1]",12,1
"[7, 4, 3, 0, 5, 6, 2, 1]",13,0
"[7, 4, 3, 0, 5, 6, 2, 1]",14,1
"[7, 4, 3, 0, 5, 6, 2, 1]",15,1
"[7, 4, 3, 0, 5, 6, 2, 1]",16,0
"[7, 4, 3, 0, 5, 6, 2, 1]",17,0
"[7, 4, 3, 0, 5, 6, 2, 1]",18,1
"[7, 4, 3, 0, 5, 6, 2, 1]",19,1
"[4, 0, 5, 2, 7, 1, 3, 6]",0,0
"[4, 0, 5, 2, 7, 1, 3, 6]",1,1
"[4, 0, 5, 2, 7, 1, 3, 6]",2,1
"[4, 0, 5, 2, 7, 1, 3, 6]",3,0
"[4, 0, 5, 2, 7, 1, 3, 6]",4,1
"[4, 0, 5, 2, 7, 1, 3, 6]",5,1
"[4, 0, 5, 2, 7, 1, 3, 6]",6,1
"[4, 0, 5, 2, 7, 1, 3, 6]",7,0
"[4, 0, 5, 2, 7, 1, 3, 6]",8,1
"[4, 0, 5, 2, 7, 1, 3, 6]",9,1
"[4, 0, 5, 2, 7, 1, 3, 6]",10,0
"[4, 0, 5, 2, 7, 1, 3, 6]",11,0
"[4, 0, 5, 2, 7, 1, 3, 6]",12,1
"[4, 0, 5, 2, 7, 1, 3, 6]",13,0
"[4, 0, 5, 2, 7, 1, 3, 6]",14,1
"[4, 0, 5, 2, 7, 1, 3, 6]",15,1
"[4, 0, 5, 2, 7, 1, 3, 6]",16,1
"[4, 0, 5, 2, 7, 1, 3, 6]",17,1
"[4, 0, 5, 2, 7, 1, 3, 6]",18,1
"[4, 0, 5, 2, 7, 1, 3, 6]",19,1
"[5, 1, 0, 3, 7, 6, 2, 4]",0,0
"[5, 1, 0, 3, 7, 6, 2, 4]",1,1
"[5, 1, 0, 3, 7, 6, 2, 4]",2,1
"[5, 1, 0, 3, 7, 6, 2, 4]",3,0
"[5, 1, 0, 3, 7, 6, 2, 4]",4,1
"[5, 1, 0, 3, 7, 6, 2, 4]",5,0
"[5, 1, 0, 3, 7, 6, 2, 4]",6,1
"[5, 1, 0, 3, 7, 6, 2, 4]",7,0
"[5, 1, 0, 3, 7, 6, 2, 4]",8,1
"[5, 1, 0, 3, 7, 6, 2, 4]",9,1
"[5, 1, 0, 3, 7, 6, 2, 4]",10,0
"[5, 1, 0, 3, 7, 6, 2, 4]",11,0
"[5, 1, 0, 3, 7, 6, 2, 4]",12,1
"[5, 1, 0, 3, 7, 6, 2, 4]",13,0
"[5, 1, 0, 3, 7, 6, 2, 4]",14,1
"[5, 1, 0, 3, 7, 6, 2, 4]",15,1
"[5, 1, 0, 3, 7, 6, 2, 4]",16,0
"[5, 1, 0, 3, 7, 6, 2, 4]",17,1
"[5, 1, 0, 3, 7, 6, 2, 4]",18,1
"[5, 1, 0, 3, 7, 6, 2, 4]",19,1
"[2, 6, 1, 7, 4, 3, 0, 5]",0,0
"[2, 6, 1, 7, 4, 3, 0, 5]",1,1
"[2, 6, 1, 7, 4, 3, 0, 5]",2,1
"[2, 6, 1, 7, 4, 3, 0, 5]",3,0
"[2, 6, 1, 7, 4, 3, 0, 5]",4,1
"[2, 6, 1, 7, 4, 3, 0, 5]",5,0
"[2, 6, 1, 7, 4, 3, 0, 5]",6,1
"[2, 6, 1, 7, 4, 3, 0, 5]",7,1
"[2, 6, 1, 7, 4, 3, 0, 5]",8,0
"[2, 6, 1, 7, 4, 3, 0, 5]",9,0
"[2, 6, 1, 7, 4, 3, 0, 5]",10,1
"[2, 6, 1, 7, 4, 3, 0, 5]",11,0
"[2, 6, 1, 7, 4, 3, 0, 5]",12,1
"[2, 6, 1, 7, 4, 3, 0, 5]",13,0
"[2, 6, 1, 7, 4, 3, 0, 5]",14,1
"[2, 6, 1, 7, 4, 3, 0, 5]",15,1
"[2, 6, 1, 7, 4, 3, 0, 5]",16,0
"[2, 6, 1, 7, 4, 3, 0, 5]",17,1
"[2, 6, 1, 7, 4, 3, 0, 5]",18,1
"[2, 6, 1, 7, 4, 3, 0, 5]",19,1
"[2, 5, 7, 6, 0, 3, 1, 4]",0,0
"[2, 5, 7, 6, 0, 3, 1, 4]",1,1
"[2, 5, 7, 6, 0, 3, 1, 4]",2,1
"[2, 5, 7, 6, 0, 3, 1, 4]",3,0
"[2, 5, 7, 6, 0, 3, 1, 4]",4,1
"[2, 5, 7, 6, 0, 3, 1, 4]",5,0
"[2, 5, 7, 6, 0, 3, 1, 4]",6,1
"[2, 5, 7, 6, 0, 3, 1, 4]",7,1
"[2, 5, 7, 6, 0, 3, 1, 4]",8,1
"[2, 5, 7, 6, 0, 3, 1, 4]",9,1
"[2, 5, 7, 6, 0, 3, 1, 4]",10,1
"[2, 5, 7, 6, 0, 3, 1, 4]",11,1
"[2, 5, 7, 6, 0, 3, 1, 4]",12,0
"[2, 5, 7, 6, 0, 3, 1, 4]",13,0
"[2, 5, 7, 6, 0, 3, 1, 4]",14,1
"[2, 5, 7, 6, 0, 3, 1, 4]",15,1
