wording_id,perm,qidx,correct
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",0,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",1,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",2,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",3,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",4,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",5,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",6,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",7,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",9,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",10,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",11,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",12,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",13,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",14,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",15,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",16,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",17,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",18,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",19,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",20,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",21,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",22,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",23,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",24,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",25,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",26,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",27,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",28,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",29,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",30,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",31,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",32,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",33,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",34,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",35,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",36,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",37,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",38,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",39,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",40,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",41,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",42,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",43,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",44,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",45,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",46,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",47,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",48,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",49,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",50,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",51,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",52,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",53,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",54,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",55,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",56,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",57,0
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",58,1
orig,"[0, 1, 2, 3, 4, 5, 6, 7]",59,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",0,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",1,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",2,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",3,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",4,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",5,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",6,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",7,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",8,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",9,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",10,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",11,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",12,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",13,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",14,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",15,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",16,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",17,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",18,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",19,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",20,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",21,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",22,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",23,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",24,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",25,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",26,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",27,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",28,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",29,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",30,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",31,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",32,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",33,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",34,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",35,1
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",36,0
250d831c37,"[0, 1, 2, 3, 4, 5, 6, 7]",37,1
